fold,seed,model,selection
1,17,gnn_selected,"{""q"": 2, ""rule"": ""smallest q within 0.02 inner validation R2 of best""}"
1,27,random_forest,"{""min_samples_leaf"": 5, ""max_features"": 1.0}"
1,27,ann,"{""best_epoch"": 1, ""inner_r2"": -1.8876319883164356, ""parameters"": 2561}"
1,27,ann_q1,"{""best_epoch"": 1, ""inner_r2"": -0.04175579027561005, ""parameters"": 562}"
1,27,ann_q2,"{""best_epoch"": 1, ""inner_r2"": -0.1713946684148384, ""parameters"": 643}"
1,27,ann_q3,"{""best_epoch"": 1, ""inner_r2"": -0.4777921936677243, ""parameters"": 724}"
1,27,ann_q4,"{""best_epoch"": 1, ""inner_r2"": -0.3154144464202515, ""parameters"": 805}"
1,27,ann_selected,"{""q"": 1, ""rule"": ""smallest q within 0.02 inner validation R2 of best""}"
1,27,gnn_q1,"{""best_epoch"": 54, ""inner_r2"": 0.5323488390617706, ""parameters"": 51634}"
1,27,gnn_q2,"{""best_epoch"": 82, ""inner_r2"": 0.7989070110038224, ""parameters"": 51843}"
1,27,gnn_q3,"{""best_epoch"": 47, ""inner_r2"": 0.7855222525723733, ""parameters"": 52052}"
1,27,gnn_q4,"{""best_epoch"": 64, ""inner_r2"": 0.6906813414846923, ""parameters"": 52261}"
1,27,gnn_selected,"{""q"": 2, ""rule"": ""smallest q within 0.02 inner validation R2 of best""}"
2,7,random_forest,"{""min_samples_leaf"": 5, ""max_features"": 1.0}"
2,7,ann,"{""best_epoch"": 18, ""inner_r2"": 0.6299851967430387, ""parameters"": 2561}"
2,7,ann_q1,"{""best_epoch"": 119, ""inner_r2"": 0.6508993558925851, ""parameters"": 562}"
2,7,ann_q2,"{""best_epoch"": 28, ""inner_r2"": 0.6607441624137336, ""parameters"": 643}"
2,7,ann_q3,"{""best_epoch"": 22, ""inner_r2"": 0.6291867342657927, ""parameters"": 724}"
2,7,ann_q4,"{""best_epoch"": 42, ""inner_r2"": 0.5293069322455337, ""parameters"": 805}"
2,7,ann_selected,"{""q"": 1, ""rule"": ""smallest q within 0.02 inner validation R2 of best""}"
2,7,gnn_q1,"{""best_epoch"": 127, ""inner_r2"": 0.566634156964908, ""parameters"": 51634}"
2,7,gnn_q2,"{""best_epoch"": 226, ""inner_r2"": 0.8707555639817499, ""parameters"": 51843}"
2,7,gnn_q3,"{""best_epoch"": 39, ""inner_r2"": 0.4225870966327878, ""parameters"": 52052}"
2,7,gnn_q4,"{""best_epoch"": 86, ""inner_r2"": 0.7208457019016895, ""parameters"": 52261}"
2,7,gnn_selected,"{""q"": 2, ""rule"": ""smallest q within 0.02 inner validation R2 of best""}"
2,17,random_forest,"{""min_samples_leaf"": 5, ""max_features"": 0.67}"
2,17,ann,"{""best_epoch"": 9, ""inner_r2"": 0.5541467506495052, ""parameters"": 2561}"
2,17,ann_q1,"{""best_epoch"": 26, ""inner_r2"": 0.5072644923060767, ""parameters"": 562}"
2,17,ann_q2,"{""best_epoch"": 53, ""inner_r2"": 0.5646363128131804, ""parameters"": 643}"
2,17,ann_q3,"{""best_epoch"": 35, ""inner_r2"": 0.5092431583421995, ""parameters"": 724}"
2,17,ann_q4,"{""best_epoch"": 74, ""inner_r2"": 0.6827587313069003, ""parameters"": 805}"
2,17,ann_selected,"{""q"": 4, ""rule"": ""smallest q within 0.02 inner validation R2 of best""}"
2,17,gnn_q1,"{""best_epoch"": 130, ""inner_r2"": 0.5167439552612465, ""parameters"": 51634}"
2,17,gnn_q2,"{""best_epoch"": 78, ""inner_r2"": 0.7596606668620691, ""parameters"": 51843}"
2,17,gnn_q3,"{""best_epoch"": 136, ""inner_r2"": 0.9087557877213506, ""parameters"": 52052}"
2,17,gnn_q4,"{""best_epoch"": 65, ""inner_r2"": 0.7435460088426984, ""parameters"": 52261}"
2,17,gnn_selected,"{""q"": 3, ""rule"": ""smallest q within 0.02 inner validation R2 of best""}"
2,27,random_forest,"{""min_samples_leaf"": 5, ""max_features"": 0.67}"
2,27,ann,"{""best_epoch"": 17, ""inner_r2"": 0.5396532588776402, ""parameters"": 2561}"
2,27,ann_q1,"{""best_epoch"": 130, ""inner_r2"": 0.5664686514842796, ""parameters"": 562}"
2,27,ann_q2,"{""best_epoch"": 74, ""inner_r2"": 0.6935828669610477, ""parameters"": 643}"
2,27,ann_q3,"{""best_epoch"": 24, ""inner_r2"": 0.6816079966104442, ""parameters"": 724}"
2,27,ann_q4,"{""best_epoch"": 26, ""inner_r2"": 0.6511210213699947, ""parameters"": 805}"
2,27,ann_selected,"{""q"": 2, ""rule"": ""smallest q within 0.02 inner validation R2 of best""}"
2,27,gnn_q1,"{""best_epoch"": 98, ""inner_r2"": 0.8223822594417962, ""parameters"": 51634}"
2,27,gnn_q2,"{""best_epoch"": 19, ""inner_r2"": 0.5100561948660101, ""parameters"": 51843}"
2,27,gnn_q3,"{""best_epoch"": 110, ""inner_r2"": 0.8314760699698659, ""parameters"": 52052}"
2,27,gnn_q4,"{""best_epoch"": 32, ""inner_r2"": 0.7363868400479899, ""parameters"": 52261}"
2,27,gnn_selected,"{""q"": 1, ""rule"": ""smallest q within 0.02 inner validation R2 of best""}"
3,7,random_forest,"{""min_samples_leaf"": 5, ""max_features"": 1.0}"
3,7,ann,"{""best_epoch"": 46, ""inner_r2"": 0.5805607942389918, ""parameters"": 2561}"
3,7,ann_q1,"{""best_epoch"": 298, ""inner_r2"": 0.6486044641619675, ""parameters"": 562}"
3,7,ann_q2,"{""best_epoch"": 281, ""inner_r2"": 0.7279952770735171, ""parameters"": 643}"
3,7,ann_q3,"{""best_epoch"": 173, ""inner_r2"": 0.865556478611534, ""parameters"": 724}"
3,7,ann_q4,"{""best_epoch"": 15, ""inner_r2"": 0.5496496403933286, ""parameters"": 805}"
3,7,ann_selected,"{""q"": 3, ""rule"": ""smallest q within 0.02 inner validation R2 of best""}"
3,7,gnn_q1,"{""best_epoch"": 48, ""inner_r2"": 0.7356309204270204, ""parameters"": 51634}"
3,7,gnn_q2,"{""best_epoch"": 48, ""inner_r2"": 0.933362892117264, ""parameters"": 51843}"
3,7,gnn_q3,"{""best_epoch"": 37, ""inner_r2"": 0.9015949279662308, ""parameters"": 52052}"
3,7,gnn_q4,"{""best_epoch"": 41, ""inner_r2"": 0.9259661262592412, ""parameters"": 52261}"
3,7,gnn_selected,"{""q"": 2, ""rule"": ""smallest q within 0.02 inner validation R2 of best""}"
3,17,random_forest,"{""min_samples_leaf"": 5, ""max_features"": 1.0}"
3,17,ann,"{""best_epoch"": 71, ""inner_r2"": 0.7419927983530838, ""parameters"": 2561}"
3,17,ann_q1,"{""best_epoch"": 98, ""inner_r2"": 0.797337404687978, ""parameters"": 562}"
3,17,ann_q2,"{""best_epoch"": 191, ""inner_r2"": 0.846013640552338, ""parameters"": 643}"
3,17,ann_q3,"{""best_epoch"": 299, ""inner_r2"": 0.7169937970540212, ""parameters"": 724}"
3,17,ann_q4,"{""best_epoch"": 256, ""inner_r2"": 0.8472651750933873, ""parameters"": 805}"
3,17,ann_selected,"{""q"": 2, ""rule"": ""smallest q within 0.02 inner validation R2 of best""}"
3,17,gnn_q1,"{""best_epoch"": 42, ""inner_r2"": 0.8715385606235357, ""parameters"": 51634}"
3,17,gnn_q2,"{""best_epoch"": 32, ""inner_r2"": 0.920568612873943, ""parameters"": 51843}"
3,17,gnn_q3,"{""best_epoch"": 45, ""inner_r2"": 0.9078684901617324, ""parameters"": 52052}"
3,17,gnn_q4,"{""best_epoch"": 36, ""inner_r2"": 0.9486038190102921, ""parameters"": 52261}"
3,17,gnn_selected,"{""q"": 4, ""rule"": ""smallest q within 0.02 inner validation R2 of best""}"
3,27,random_forest,"{""min_samples_leaf"": 5, ""max_features"": 1.0}"
3,27,ann,"{""best_epoch"": 76, ""inner_r2"": 0.5258513605532941, ""parameters"": 2561}"
3,27,ann_q1,"{""best_epoch"": 207, ""inner_r2"": 0.9140438528666337, ""parameters"": 562}"
3,27,ann_q2,"{""best_epoch"": 190, ""inner_r2"": 0.7788790775493651, ""parameters"": 643}"
3,27,ann_q3,"{""best_epoch"": 39, ""inner_r2"": 0.6749264530721131, ""parameters"": 724}"
3,27,ann_q4,"{""best_epoch"": 143, ""inner_r2"": 0.8184641760271153, ""parameters"": 805}"
3,27,ann_selected,"{""q"": 1, ""rule"": ""smallest q within 0.02 inner validation R2 of best""}"
3,27,gnn_q1,"{""best_epoch"": 37, ""inner_r2"": 0.913929839663475, ""parameters"": 51634}"
3,27,gnn_q2,"{""best_epoch"": 42, ""inner_r2"": 0.9419143340691046, ""parameters"": 51843}"
3,27,gnn_q3,"{""best_epoch"": 39, ""inner_r2"": 0.9300958004568418, ""parameters"": 52052}"
3,27,gnn_q4,"{""best_epoch"": 34, ""inner_r2"": 0.9163091732453533, ""parameters"": 52261}"
3,27,gnn_selected,"{""q"": 2, ""rule"": ""smallest q within 0.02 inner validation R2 of best""}"
4,7,random_forest,"{""min_samples_leaf"": 5, ""max_features"": 0.67}"
4,7,ann,"{""best_epoch"": 4, ""inner_r2"": -1.1224172925508182, ""parameters"": 2561}"
4,7,ann_q1,"{""best_epoch"": 1, ""inner_r2"": -0.09519351627795691, ""parameters"": 562}"
4,7,ann_q2,"{""best_epoch"": 14, ""inner_r2"": -0.6568672817479992, ""parameters"": 643}"
4,7,ann_q3,"{""best_epoch"": 8, ""inner_r2"": -1.041864877967857, ""parameters"": 724}"
4,7,ann_q4,"{""best_epoch"": 6, ""inner_r2"": -0.9584577456235923, ""parameters"": 805}"
4,7,ann_selected,"{""q"": 1, ""rule"": ""smallest q within 0.02 inner validation R2 of best""}"
4,7,gnn_q1,"{""best_epoch"": 42, ""inner_r2"": 0.8741980701306545, ""parameters"": 51634}"
4,7,gnn_q2,"{""best_epoch"": 73, ""inner_r2"": 0.9425057992785255, ""parameters"": 51843}"
4,7,gnn_q3,"{""best_epoch"": 73, ""inner_r2"": 0.9483665271439773, ""parameters"": 52052}"
4,7,gnn_q4,"{""best_epoch"": 28, ""inner_r2"": 0.8700895071467918, ""parameters"": 52261}"
4,7,gnn_selected,"{""q"": 2, ""rule"": ""smallest q within 0.02 inner validation R2 of best""}"
4,17,random_forest,"{""min_samples_leaf"": 5, ""max_features"": 0.67}"
4,17,ann,"{""best_epoch"": 5, ""inner_r2"": -0.499144718810546, ""parameters"": 2561}"
4,17,ann_q1,"{""best_epoch"": 12, ""inner_r2"": -0.9905084707194549, ""parameters"": 562}"
4,17,ann_q2,"{""best_epoch"": 22, ""inner_r2"": -0.923601384712476, ""parameters"": 643}"
4,17,ann_q3,"{""best_epoch"": 1, ""inner_r2"": -0.42521904939226585, ""parameters"": 724}"
4,17,ann_q4,"{""best_epoch"": 23, ""inner_r2"": -1.1479258746267331, ""parameters"": 805}"
4,17,ann_selected,"{""q"": 3, ""rule"": ""smallest q within 0.02 inner validation R2 of best""}"
4,17,gnn_q1,"{""best_epoch"": 173, ""inner_r2"": 0.9191602065088825, ""parameters"": 51634}"
4,17,gnn_q2,"{""best_epoch"": 108, ""inner_r2"": 0.9696932854274013, ""parameters"": 51843}"
4,17,gnn_q3,"{""best_epoch"": 64, ""inner_r2"": 0.9242783186858299, ""parameters"": 52052}"
4,17,gnn_q4,"{""best_epoch"": 53, ""inner_r2"": 0.9299526574566004, ""parameters"": 52261}"
4,17,gnn_selected,"{""q"": 2, ""rule"": ""smallest q within 0.02 inner validation R2 of best""}"
4,27,random_forest,"{""min_samples_leaf"": 5, ""max_features"": 0.67}"
4,27,ann,"{""best_epoch"": 5, ""inner_r2"": -1.244060592699387, ""parameters"": 2561}"
4,27,ann_q1,"{""best_epoch"": 13, ""inner_r2"": -0.9934425102339681, ""parameters"": 562}"
4,27,ann_q2,"{""best_epoch"": 8, ""inner_r2"": -0.4196316935560296, ""parameters"": 643}"
4,27,ann_q3,"{""best_epoch"": 10, ""inner_r2"": -1.3535237967291698, ""parameters"": 724}"
4,27,ann_q4,"{""best_epoch"": 11, ""inner_r2"": -0.9340561516180739, ""parameters"": 805}"
4,27,ann_selected,"{""q"": 2, ""rule"": ""smallest q within 0.02 inner validation R2 of best""}"
4,27,gnn_q1,"{""best_epoch"": 99, ""inner_r2"": 0.8599995058955059, ""parameters"": 51634}"
4,27,gnn_q2,"{""best_epoch"": 68, ""inner_r2"": 0.9322449906903394, ""parameters"": 51843}"
4,27,gnn_q3,"{""best_epoch"": 65, ""inner_r2"": 0.9478630828929945, ""parameters"": 52052}"
4,27,gnn_q4,"{""best_epoch"": 29, ""inner_r2"": 0.8996879377992507, ""parameters"": 52261}"
4,27,gnn_selected,"{""q"": 2, ""rule"": ""smallest q within 0.02 inner validation R2 of best""}"
