fold,seed,model,selection
0,27,ann_q4,"{""best_epoch"": 8, ""inner_r2"": -2.187828545142086, ""parameters"": 805}"
0,27,ann_selected,"{""q"": 1, ""rule"": ""smallest q within 0.02 inner validation R2 of best""}"
0,27,gnn_q1,"{""best_epoch"": 74, ""inner_r2"": 0.9330242461398569, ""parameters"": 51634}"
0,27,gnn_q2,"{""best_epoch"": 71, ""inner_r2"": 0.9024294833023687, ""parameters"": 51843}"
0,27,gnn_q3,"{""best_epoch"": 67, ""inner_r2"": 0.9055129075223639, ""parameters"": 52052}"
0,27,gnn_q4,"{""best_epoch"": 20, ""inner_r2"": 0.7161677636881028, ""parameters"": 52261}"
0,27,gnn_selected,"{""q"": 1, ""rule"": ""smallest q within 0.02 inner validation R2 of best""}"
1,7,random_forest,"{""min_samples_leaf"": 3, ""max_features"": 0.67}"
1,7,ann,"{""best_epoch"": 5, ""inner_r2"": -5.872814878299037, ""parameters"": 2561}"
1,7,ann_q1,"{""best_epoch"": 1, ""inner_r2"": -3.1627462398129262, ""parameters"": 562}"
1,7,ann_q2,"{""best_epoch"": 8, ""inner_r2"": -5.244120462520773, ""parameters"": 643}"
1,7,ann_q3,"{""best_epoch"": 1, ""inner_r2"": -2.584331199631811, ""parameters"": 724}"
1,7,ann_q4,"{""best_epoch"": 9, ""inner_r2"": -3.94709225689512, ""parameters"": 805}"
1,7,ann_selected,"{""q"": 3, ""rule"": ""smallest q within 0.02 inner validation R2 of best""}"
1,7,gnn_q1,"{""best_epoch"": 165, ""inner_r2"": 0.2766983157521419, ""parameters"": 51634}"
1,7,gnn_q2,"{""best_epoch"": 275, ""inner_r2"": 0.45597384338950453, ""parameters"": 51843}"
1,7,gnn_q3,"{""best_epoch"": 26, ""inner_r2"": -0.3759520254745856, ""parameters"": 52052}"
1,7,gnn_q4,"{""best_epoch"": 148, ""inner_r2"": 0.5046900540865444, ""parameters"": 52261}"
1,7,gnn_selected,"{""q"": 4, ""rule"": ""smallest q within 0.02 inner validation R2 of best""}"
1,17,random_forest,"{""min_samples_leaf"": 3, ""max_features"": 0.67}"
1,17,ann,"{""best_epoch"": 3, ""inner_r2"": -4.648461712276672, ""parameters"": 2561}"
1,17,ann_q1,"{""best_epoch"": 25, ""inner_r2"": -3.645480067937955, ""parameters"": 562}"
1,17,ann_q2,"{""best_epoch"": 13, ""inner_r2"": -3.3115453798916947, ""parameters"": 643}"
1,17,ann_q3,"{""best_epoch"": 12, ""inner_r2"": -3.783805123358385, ""parameters"": 724}"
1,17,ann_q4,"{""best_epoch"": 10, ""inner_r2"": -3.972254079871636, ""parameters"": 805}"
1,17,ann_selected,"{""q"": 2, ""rule"": ""smallest q within 0.02 inner validation R2 of best""}"
1,17,gnn_q1,"{""best_epoch"": 76, ""inner_r2"": -0.5599033566684415, ""parameters"": 51634}"
1,17,gnn_q2,"{""best_epoch"": 143, ""inner_r2"": 0.011400865200461574, ""parameters"": 51843}"
1,17,gnn_q3,"{""best_epoch"": 86, ""inner_r2"": 0.47302653935992567, ""parameters"": 52052}"
1,17,gnn_q4,"{""best_epoch"": 181, ""inner_r2"": 0.23345357863928207, ""parameters"": 52261}"
1,17,gnn_selected,"{""q"": 3, ""rule"": ""smallest q within 0.02 inner validation R2 of best""}"
1,27,random_forest,"{""min_samples_leaf"": 3, ""max_features"": 0.67}"
1,27,ann,"{""best_epoch"": 8, ""inner_r2"": -4.249865639409185, ""parameters"": 2561}"
1,27,ann_q1,"{""best_epoch"": 11, ""inner_r2"": -4.66360641013339, ""parameters"": 562}"
1,27,ann_q2,"{""best_epoch"": 20, ""inner_r2"": -3.2813201786894703, ""parameters"": 643}"
1,27,ann_q3,"{""best_epoch"": 11, ""inner_r2"": -5.507039784229757, ""parameters"": 724}"
1,27,ann_q4,"{""best_epoch"": 11, ""inner_r2"": -4.342236351244775, ""parameters"": 805}"
1,27,ann_selected,"{""q"": 2, ""rule"": ""smallest q within 0.02 inner validation R2 of best""}"
1,27,gnn_q1,"{""best_epoch"": 5, ""inner_r2"": -11.685462371774252, ""parameters"": 51634}"
1,27,gnn_q2,"{""best_epoch"": 144, ""inner_r2"": 0.2829842253452576, ""parameters"": 51843}"
1,27,gnn_q3,"{""best_epoch"": 54, ""inner_r2"": -0.8330650784268903, ""parameters"": 52052}"
1,27,gnn_q4,"{""best_epoch"": 120, ""inner_r2"": 0.15046583494959476, ""parameters"": 52261}"
1,27,gnn_selected,"{""q"": 2, ""rule"": ""smallest q within 0.02 inner validation R2 of best""}"
2,7,random_forest,"{""min_samples_leaf"": 5, ""max_features"": 0.67}"
2,7,ann,"{""best_epoch"": 58, ""inner_r2"": 0.8089741886917289, ""parameters"": 2561}"
2,7,ann_q1,"{""best_epoch"": 228, ""inner_r2"": 0.8360098491799032, ""parameters"": 562}"
2,7,ann_q2,"{""best_epoch"": 19, ""inner_r2"": 0.7858087982299907, ""parameters"": 643}"
2,7,ann_q3,"{""best_epoch"": 17, ""inner_r2"": 0.7873832394902822, ""parameters"": 724}"
2,7,ann_q4,"{""best_epoch"": 57, ""inner_r2"": 0.7942645554835358, ""parameters"": 805}"
2,7,ann_selected,"{""q"": 1, ""rule"": ""smallest q within 0.02 inner validation R2 of best""}"
2,7,gnn_q1,"{""best_epoch"": 71, ""inner_r2"": 0.959429982438824, ""parameters"": 51634}"
2,7,gnn_q2,"{""best_epoch"": 39, ""inner_r2"": 0.9392496441113863, ""parameters"": 51843}"
2,7,gnn_q3,"{""best_epoch"": 75, ""inner_r2"": 0.9085295281120054, ""parameters"": 52052}"
2,7,gnn_q4,"{""best_epoch"": 110, ""inner_r2"": 0.9446625102203615, ""parameters"": 52261}"
2,7,gnn_selected,"{""q"": 1, ""rule"": ""smallest q within 0.02 inner validation R2 of best""}"
2,17,random_forest,"{""min_samples_leaf"": 5, ""max_features"": 0.67}"
2,17,ann,"{""best_epoch"": 67, ""inner_r2"": 0.7734653398993514, ""parameters"": 2561}"
2,17,ann_q1,"{""best_epoch"": 204, ""inner_r2"": 0.8147647939563099, ""parameters"": 562}"
2,17,ann_q2,"{""best_epoch"": 72, ""inner_r2"": 0.8033412351494358, ""parameters"": 643}"
2,17,ann_q3,"{""best_epoch"": 42, ""inner_r2"": 0.7796978615350456, ""parameters"": 724}"
2,17,ann_q4,"{""best_epoch"": 134, ""inner_r2"": 0.9099120773410575, ""parameters"": 805}"
2,17,ann_selected,"{""q"": 4, ""rule"": ""smallest q within 0.02 inner validation R2 of best""}"
2,17,gnn_q1,"{""best_epoch"": 46, ""inner_r2"": 0.9315086523388332, ""parameters"": 51634}"
2,17,gnn_q2,"{""best_epoch"": 36, ""inner_r2"": 0.9326897990726829, ""parameters"": 51843}"
2,17,gnn_q3,"{""best_epoch"": 88, ""inner_r2"": 0.9476169583392856, ""parameters"": 52052}"
2,17,gnn_q4,"{""best_epoch"": 87, ""inner_r2"": 0.916539009735164, ""parameters"": 52261}"
2,17,gnn_selected,"{""q"": 1, ""rule"": ""smallest q within 0.02 inner validation R2 of best""}"
2,27,random_forest,"{""min_samples_leaf"": 5, ""max_features"": 0.67}"
2,27,ann,"{""best_epoch"": 76, ""inner_r2"": 0.8461841925184559, ""parameters"": 2561}"
2,27,ann_q1,"{""best_epoch"": 21, ""inner_r2"": 0.7764774153939988, ""parameters"": 562}"
2,27,ann_q2,"{""best_epoch"": 124, ""inner_r2"": 0.9173353471317629, ""parameters"": 643}"
2,27,ann_q3,"{""best_epoch"": 61, ""inner_r2"": 0.8969303942593139, ""parameters"": 724}"
2,27,ann_q4,"{""best_epoch"": 159, ""inner_r2"": 0.7986466319672758, ""parameters"": 805}"
2,27,ann_selected,"{""q"": 2, ""rule"": ""smallest q within 0.02 inner validation R2 of best""}"
2,27,gnn_q1,"{""best_epoch"": 66, ""inner_r2"": 0.9527817956675795, ""parameters"": 51634}"
2,27,gnn_q2,"{""best_epoch"": 41, ""inner_r2"": 0.9129501744557271, ""parameters"": 51843}"
2,27,gnn_q3,"{""best_epoch"": 64, ""inner_r2"": 0.8987814211796222, ""parameters"": 52052}"
2,27,gnn_q4,"{""best_epoch"": 84, ""inner_r2"": 0.942574345048392, ""parameters"": 52261}"
2,27,gnn_selected,"{""q"": 1, ""rule"": ""smallest q within 0.02 inner validation R2 of best""}"
3,7,random_forest,"{""min_samples_leaf"": 3, ""max_features"": 1.0}"
3,7,ann,"{""best_epoch"": 65, ""inner_r2"": 0.972874122593648, ""parameters"": 2561}"
3,7,ann_q1,"{""best_epoch"": 286, ""inner_r2"": 0.9535214191551783, ""parameters"": 562}"
3,7,ann_q2,"{""best_epoch"": 119, ""inner_r2"": 0.9444009863915571, ""parameters"": 643}"
3,7,ann_q3,"{""best_epoch"": 99, ""inner_r2"": 0.9894345622169775, ""parameters"": 724}"
3,7,ann_q4,"{""best_epoch"": 113, ""inner_r2"": 0.9796322021405486, ""parameters"": 805}"
3,7,ann_selected,"{""q"": 3, ""rule"": ""smallest q within 0.02 inner validation R2 of best""}"
3,7,gnn_q1,"{""best_epoch"": 34, ""inner_r2"": 0.2539842153070605, ""parameters"": 51634}"
3,7,gnn_q2,"{""best_epoch"": 43, ""inner_r2"": 0.9898007980013265, ""parameters"": 51843}"
3,7,gnn_q3,"{""best_epoch"": 40, ""inner_r2"": 0.9824328714624917, ""parameters"": 52052}"
3,7,gnn_q4,"{""best_epoch"": 27, ""inner_r2"": 0.9772303447345874, ""parameters"": 52261}"
3,7,gnn_selected,"{""q"": 2, ""rule"": ""smallest q within 0.02 inner validation R2 of best""}"
3,17,random_forest,"{""min_samples_leaf"": 1, ""max_features"": 0.67}"
3,17,ann,"{""best_epoch"": 48, ""inner_r2"": 0.9643672411192604, ""parameters"": 2561}"
3,17,ann_q1,"{""best_epoch"": 253, ""inner_r2"": 0.9693439198595678, ""parameters"": 562}"
3,17,ann_q2,"{""best_epoch"": 181, ""inner_r2"": 0.9775646738164491, ""parameters"": 643}"
3,17,ann_q3,"{""best_epoch"": 290, ""inner_r2"": 0.9784864138681482, ""parameters"": 724}"
3,17,ann_q4,"{""best_epoch"": 300, ""inner_r2"": 0.9832868645416065, ""parameters"": 805}"
3,17,ann_selected,"{""q"": 1, ""rule"": ""smallest q within 0.02 inner validation R2 of best""}"
3,17,gnn_q1,"{""best_epoch"": 43, ""inner_r2"": 0.9813031268034871, ""parameters"": 51634}"
3,17,gnn_q2,"{""best_epoch"": 81, ""inner_r2"": 0.9901019222169437, ""parameters"": 51843}"
3,17,gnn_q3,"{""best_epoch"": 53, ""inner_r2"": 0.9917451166277119, ""parameters"": 52052}"
3,17,gnn_q4,"{""best_epoch"": 86, ""inner_r2"": 0.9879783020764928, ""parameters"": 52261}"
3,17,gnn_selected,"{""q"": 1, ""rule"": ""smallest q within 0.02 inner validation R2 of best""}"
3,27,random_forest,"{""min_samples_leaf"": 3, ""max_features"": 0.67}"
3,27,ann,"{""best_epoch"": 196, ""inner_r2"": 0.9418358115899218, ""parameters"": 2561}"
3,27,ann_q1,"{""best_epoch"": 192, ""inner_r2"": 0.970078671502499, ""parameters"": 562}"
3,27,ann_q2,"{""best_epoch"": 165, ""inner_r2"": 0.956556086973736, ""parameters"": 643}"
3,27,ann_q3,"{""best_epoch"": 66, ""inner_r2"": 0.9663192734203626, ""parameters"": 724}"
3,27,ann_q4,"{""best_epoch"": 69, ""inner_r2"": 0.972672902204669, ""parameters"": 805}"
3,27,ann_selected,"{""q"": 1, ""rule"": ""smallest q within 0.02 inner validation R2 of best""}"
3,27,gnn_q1,"{""best_epoch"": 69, ""inner_r2"": 0.9877053982870792, ""parameters"": 51634}"
3,27,gnn_q2,"{""best_epoch"": 65, ""inner_r2"": 0.9856431564363478, ""parameters"": 51843}"
3,27,gnn_q3,"{""best_epoch"": 85, ""inner_r2"": 0.9891972523970496, ""parameters"": 52052}"
3,27,gnn_q4,"{""best_epoch"": 30, ""inner_r2"": 0.9817251360009401, ""parameters"": 52261}"
3,27,gnn_selected,"{""q"": 1, ""rule"": ""smallest q within 0.02 inner validation R2 of best""}"
4,7,random_forest,"{""min_samples_leaf"": 1, ""max_features"": 0.67}"
4,7,ann,"{""best_epoch"": 262, ""inner_r2"": 0.9357268725335243, ""parameters"": 2561}"
4,7,ann_q1,"{""best_epoch"": 48, ""inner_r2"": 0.564514677947464, ""parameters"": 562}"
4,7,ann_q2,"{""best_epoch"": 198, ""inner_r2"": 0.8504875009044326, ""parameters"": 643}"
4,7,ann_q3,"{""best_epoch"": 120, ""inner_r2"": 0.744737961623798, ""parameters"": 724}"
4,7,ann_q4,"{""best_epoch"": 211, ""inner_r2"": 0.9368049883788672, ""parameters"": 805}"
4,7,ann_selected,"{""q"": 4, ""rule"": ""smallest q within 0.02 inner validation R2 of best""}"
4,7,gnn_q1,"{""best_epoch"": 74, ""inner_r2"": 0.9785881456145776, ""parameters"": 51634}"
4,7,gnn_q2,"{""best_epoch"": 25, ""inner_r2"": 0.5768374476620832, ""parameters"": 51843}"
4,7,gnn_q3,"{""best_epoch"": 94, ""inner_r2"": 0.9041020457108889, ""parameters"": 52052}"
4,7,gnn_q4,"{""best_epoch"": 83, ""inner_r2"": 0.10680208672860836, ""parameters"": 52261}"
4,7,gnn_selected,"{""q"": 1, ""rule"": ""smallest q within 0.02 inner validation R2 of best""}"
4,17,random_forest,"{""min_samples_leaf"": 1, ""max_features"": 0.67}"
4,17,ann,"{""best_epoch"": 109, ""inner_r2"": 0.9158051567917649, ""parameters"": 2561}"
4,17,ann_q1,"{""best_epoch"": 300, ""inner_r2"": 0.7695043623002347, ""parameters"": 562}"
4,17,ann_q2,"{""best_epoch"": 153, ""inner_r2"": 0.7373677431260779, ""parameters"": 643}"
4,17,ann_q3,"{""best_epoch"": 272, ""inner_r2"": 0.8439413181262105, ""parameters"": 724}"
4,17,ann_q4,"{""best_epoch"": 290, ""inner_r2"": 0.6931405562989058, ""parameters"": 805}"
4,17,ann_selected,"{""q"": 3, ""rule"": ""smallest q within 0.02 inner validation R2 of best""}"
4,17,gnn_q1,"{""best_epoch"": 65, ""inner_r2"": 0.9783030115652489, ""parameters"": 51634}"
4,17,gnn_q2,"{""best_epoch"": 130, ""inner_r2"": 0.975370930490096, ""parameters"": 51843}"
4,17,gnn_q3,"{""best_epoch"": 81, ""inner_r2"": 0.972180603859437, ""parameters"": 52052}"
4,17,gnn_q4,"{""best_epoch"": 69, ""inner_r2"": 0.9167874756069049, ""parameters"": 52261}"
4,17,gnn_selected,"{""q"": 1, ""rule"": ""smallest q within 0.02 inner validation R2 of best""}"
4,27,random_forest,"{""min_samples_leaf"": 1, ""max_features"": 0.67}"
4,27,ann,"{""best_epoch"": 118, ""inner_r2"": 0.8280165141222038, ""parameters"": 2561}"
4,27,ann_q1,"{""best_epoch"": 163, ""inner_r2"": 0.7353498883544194, ""parameters"": 562}"
4,27,ann_q2,"{""best_epoch"": 114, ""inner_r2"": 0.7355227260001282, ""parameters"": 643}"
4,27,ann_q3,"{""best_epoch"": 258, ""inner_r2"": 0.8784595695232231, ""parameters"": 724}"
4,27,ann_q4,"{""best_epoch"": 106, ""inner_r2"": 0.7183874648179316, ""parameters"": 805}"
4,27,ann_selected,"{""q"": 3, ""rule"": ""smallest q within 0.02 inner validation R2 of best""}"
4,27,gnn_q1,"{""best_epoch"": 14, ""inner_r2"": 0.6143611679412406, ""parameters"": 51634}"
4,27,gnn_q2,"{""best_epoch"": 111, ""inner_r2"": 0.9623200406222624, ""parameters"": 51843}"
4,27,gnn_q3,"{""best_epoch"": 44, ""inner_r2"": 0.9672939301241754, ""parameters"": 52052}"
4,27,gnn_q4,"{""best_epoch"": 29, ""inner_r2"": 0.9717600258852285, ""parameters"": 52261}"
4,27,gnn_selected,"{""q"": 2, ""rule"": ""smallest q within 0.02 inner validation R2 of best""}"
